player_name,player_id,team_name
De'Aaron Fox,1628368,Sacramento Kings
Doug McDermott,203926,Sacramento Kings
Mason Jones,1630222,Sacramento Kings
Kevin Huerter,1628989,Sacramento Kings
DeMar DeRozan,201942,Sacramento Kings
Domantas Sabonis,1627734,Sacramento Kings
Keegan Murray,1631099,Sacramento Kings
Isaac Jones,1642403,Sacramento Kings
Colby Jones,1641732,Sacramento Kings
Devin Carter,1642269,Sacramento Kings
Keon Ellis,1631165,Sacramento Kings
Isaiah Crawford,1642384,Sacramento Kings
Alex Len,203458,Sacramento Kings
Trey Lyles,1626168,Sacramento Kings
Jae Crowder,203109,Sacramento Kings
Keldon Johnson,1629640,San Antonio Spurs
Victor Wembanyama,1641705,San Antonio Spurs
Chris Paul,101108,San Antonio Spurs
Stephon Castle,1642264,San Antonio Spurs
David Duke Jr.,1630561,San Antonio Spurs
Jeremy Sochan,1631110,San Antonio Spurs
Blake Wesley,1631104,San Antonio Spurs
Malaki Branham,1631103,San Antonio Spurs
Zach Collins,1628380,San Antonio Spurs
Devin Vassell,1630170,San Antonio Spurs
Sidy Cissoko,1631321,San Antonio Spurs
Riley Minix,1642434,San Antonio Spurs
Charles Bassey,1629646,San Antonio Spurs
Julian Champagnie,1630577,San Antonio Spurs
Tre Jones,1630200,San Antonio Spurs
Harrison Barnes,203084,San Antonio Spurs
Sandro Mamukelashvili,1630572,San Antonio Spurs
Harrison Ingram,1631127,San Antonio Spurs
A.J. Lawson,1630639,Toronto Raptors
Gradey Dick,1641711,Toronto Raptors
Jonathan Mogbo,1642367,Toronto Raptors
Scottie Barnes,1630567,Toronto Raptors
Immanuel Quickley,1630193,Toronto Raptors
RJ Barrett,1629628,Toronto Raptors
Bruce Brown,1628971,Toronto Raptors
Ja'Kobe Walter,1642266,Toronto Raptors
Garrett Temple,202066,Toronto Raptors
Jakob Poeltl,1627751,Toronto Raptors
Ulrich Chomche,1642279,Toronto Raptors
Jamal Shead,1642347,Toronto Raptors
Chris Boucher,1628449,Toronto Raptors
Ochai Agbaji,1630534,Toronto Raptors
Kelly Olynyk,203482,Toronto Raptors
